name	taxRank	genomeSize	numReads	numUniqueReads	abundance
Desulfovibrio vulgaris str. 'Miyazaki F'	leaf	4040304	2	2	0
Flavobacterium columnare	species	3162432	2	0	0
Rhodobacter sphaeroides	species	4585882	2	0	0
Streptococcus anginosus	species	2089210	2	1	0
Bacillus coagulans	species	3330766	2	0	0
Bacillus atrophaeus	species	4168266	2	0	0
Lactobacillus reuteri	species	2118918	2	0	0
Mycobacterium avium	species	6256976	2	1	0
Mycobacterium fortuitum	species	6254616	2	1	0
Nocardia	genus	7567967	2	0	0
Frankia	genus	7497934	2	0	0
Streptomyces clavuligerus	species	7590758	2	2	0
Methanotorris igneus	species	1854197	2	0	0
Pyrodictiaceae	family	1755215	2	0	0
Acidovorax	genus	4877171	2	0	0
Magnetospirillum	genus	4666472	2	0	0
Mycobacterium abscessus	species	7033472	2	2	0
Streptomyces sampsonii	species	7070328	2	1	0
Methanococcus aeolicus	species	1569500	2	0	0
Streptomyces lydicus	species	9300149	2	1	0
Pseudomonas oryzihabitans	species	4834356	2	1	0
Roseateles	genus	0	2	0	0
Flavobacterium psychrophilum	species	2803807	2	0	0
Streptomyces coelicolor A3(2)	leaf	9054847	2	1	0
Thioalkalivibrio versutus	species	2969361	2	0	0
Bordetella trematum	species	4485537	2	2	0
Corynebacterium testudinoris	species	2721226	2	0	0
Azospirillum sp. B510	leaf	7599738	2	1	0
Rathayibacter toxicus	species	4674320	2	0	0
Methanothermococcus okinawensis	species	1677455	2	0	0
Pseudomonas parafulva	species	5087619	2	1	0
Novosphingobium resinovorum	species	6918128	2	0	0
Rhodoferax ferrireducens	species	4969784	2	0	0
Methanocaldococcus	genus	1584277	2	0	0
Mycobacterium marinum M	leaf	6660144	2	0	0
Bifidobacterium longum	species	3125541	2	1	0
Salmonella bongori NCTC 12419	leaf	4460105	2	0	0
Pseudomonas putida ND6	leaf	6202452	2	0	0
Deinococcus radiodurans R1	leaf	6628921	2	2	0
Ehrlichia ruminantium str. Welgevonden	leaf	3029332	2	0	0
Streptomyces hygroscopicus subsp. limoneus	subspecies	10537932	2	1	0
Prevotella ruminicola 23	leaf	3619559	2	0	0
Methylobacillus flagellatus KT	leaf	2971517	2	2	0
Collimonas arenae	species	15078336	2	1	0
Staphylococcus haemolyticus JCSC1435	leaf	2697861	2	1	0
Streptomyces rubrolavendulae	species	6543262	2	1	0
Bacillus cereus E33L	leaf	11690016	2	0	0
Pseudoxanthomonas suwonensis	species	3419049	2	0	0
Pseudomonas putida F1	leaf	5959964	2	0	0
Streptomyces vietnamensis	species	9153777	2	2	0
Caulobacter sp. K31	species	5889399	2	2	0
Cupriavidus sp. USMAA1020	species	7949449	2	0	0
Salinispora arenicola CNS-205	leaf	5786361	2	1	0
Geobacter lovleyi SZ	leaf	3994874	2	1	0
Saccharopolyspora erythraea NRRL 2338	leaf	8212805	2	1	0
Burkholderia cenocepacia MC0-3	leaf	7971389	2	1	0
Methylobacterium radiotolerans JCM 2831	leaf	6899110	2	0	0
Lysobacter capsici	species	6391889	2	2	0
Cellulomonas flavigena DSM 20109	leaf	4123179	2	2	0
Kocuria flava	species	3638342	2	0	0
Sorangium cellulosum So ce56	leaf	13033779	2	1	0
Kitasatospora setae KM-6054	leaf	8783278	2	2	0
Streptomyces albus J1074	leaf	6841649	2	0	0
Devriesea agamarum	species	2958880	2	0	0
Streptomyces cyaneogriseus subsp. noncyanogenus	subspecies	7762396	2	0	0
Modestobacter marinus	species	5575517	2	2	0
Streptosporangium roseum DSM 43021	leaf	10369518	2	1	0
Myxococcus fulvus HW-1	leaf	9003593	2	1	0
Burkholderia seminalis	species	7648944	2	1	0
Variovorax paradoxus S110	leaf	6754997	2	0	0
Bacillus megaterium QM B1551	leaf	5523192	2	1	0
Pseudomonas chlororaphis	species	6702062	2	0	0
Desulfurivibrio alkaliphilus AHT 2	leaf	3097763	2	1	0
Cellulomonas fimi ATCC 484	leaf	4266344	2	0	0
Pantoea sp. At-9b	species	6312783	2	1	0
Cellulomonas gilvus ATCC 13127	leaf	3526441	2	1	0
Hydrogenobacter thermophilus TK-6	leaf	3486067	2	0	0
Erwinia billingiae Eb661	leaf	5372268	2	2	0
Deinococcus maricopensis DSM 21211	leaf	3498530	2	1	0
Bacillus atrophaeus 1942	leaf	4168266	2	0	0
Rahnella sp. Y9602	species	5614252	2	0	0
Pseudoxanthomonas suwonensis 11-1	leaf	3419049	2	1	0
Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20	leaf	4694375	2	0	0
Stenotrophomonas maltophilia JV3	leaf	4544477	2	0	0
Caldilinea aerophila DSM 14535 = NBRC 104270	leaf	5144873	2	1	0
Rhodococcus sp. p52	species	5413283	2	0	0
Cupriavidus necator N-1	leaf	8480857	2	0	0
Pseudomonas putida B6-2	leaf	6377271	2	0	0
Pseudonocardia sp. EC080625-04	species	6554452	2	1	0
